checked_at,watch_id,origin,destination,departure_date,flight_number,price,ok,error
2026-08-03T19:36:39.070899+00:00,ua781-aug11,LAX,SFO,2026-08-11,UA781,148.00,1,
2026-08-03T19:36:42.362241+00:00,dl1421-aug11,LAX,SFO,2026-08-11,DL1421,148.00,1,
2026-08-03T19:36:45.572581+00:00,as1603-aug11,LAX,SFO,2026-08-11,AS1603,148.00,1,
2026-08-03T19:36:48.848092+00:00,aa6274-aug11,LAX,SFO,2026-08-11,AA6274,218.00,1,
2026-08-03T19:37:05.379906+00:00,ua781-aug11,LAX,SFO,2026-08-11,UA781,148.00,1,
2026-08-03T19:37:08.670193+00:00,dl1421-aug11,LAX,SFO,2026-08-11,DL1421,148.00,1,
2026-08-03T19:37:11.890233+00:00,as1603-aug11,LAX,SFO,2026-08-11,AS1603,148.00,1,
2026-08-03T19:37:15.164146+00:00,aa6274-aug11,LAX,SFO,2026-08-11,AA6274,218.00,1,
2026-08-03T19:54:39.308960+00:00,ua781-aug11,LAX,SFO,2026-08-11,UA781,148.00,1,
2026-08-03T19:54:42.602664+00:00,dl1421-aug11,LAX,SFO,2026-08-11,DL1421,148.00,1,
2026-08-03T19:54:45.869439+00:00,as1603-aug11,LAX,SFO,2026-08-11,AS1603,148.00,1,
2026-08-03T19:54:49.271096+00:00,aa6274-aug11,LAX,SFO,2026-08-11,AA6274,218.00,1,
