checked_at,AA42,AF1,AF11,AF3,AF3571,AF3634,AF5,AF7,AF9,AF9087,B61407,DL262,DL264,DL266,IB4158,VS3894,VS3972,VS3982
2026-08-26 18:19:10,329.00,443.00,329.00,443.00,,,443.00,499.00,549.00,,443.00,399.00,399.00,399.00,,,,
2026-08-26 19:00:51,329.00,443.00,329.00,443.00,,,443.00,499.00,549.00,,443.00,399.00,399.00,399.00,,,,
2026-08-26 19:11:03,329.00,443.00,329.00,443.00,,,443.00,499.00,549.00,,443.00,399.00,399.00,399.00,332.00,,,
2026-08-26 19:28:42,329.00,443.00,329.00,443.00,,,443.00,499.00,549.00,,443.00,399.00,399.00,399.00,,,,
2026-08-26 19:38:57,329.00,443.00,329.00,443.00,,,443.00,499.00,549.00,,443.00,399.00,399.00,399.00,,,,
2026-08-26 19:48:49,329.00,443.00,329.00,443.00,398.00,328.00,443.00,499.00,549.00,398.00,443.00,399.00,399.00,399.00,332.00,398.00,398.00,398.00
2026-08-26 19:58:51,329.00,443.00,329.00,443.00,,,443.00,499.00,549.00,,443.00,399.00,399.00,399.00,332.00,,,
2026-08-26 20:08:56,329.00,443.00,329.00,443.00,,,443.00,499.00,549.00,,443.00,399.00,399.00,399.00,,,,
2026-08-26 20:18:56,329.00,443.00,329.00,443.00,398.00,328.00,443.00,499.00,549.00,398.00,443.00,399.00,399.00,399.00,332.00,398.00,398.00,398.00
2026-08-26 20:28:59,329.00,443.00,329.00,443.00,,,443.00,499.00,549.00,,443.00,399.00,399.00,399.00,332.00,,,
2026-08-26 20:38:59,329.00,443.00,329.00,443.00,398.00,328.00,443.00,499.00,549.00,398.00,443.00,399.00,399.00,399.00,332.00,398.00,398.00,398.00
2026-08-26 20:48:58,329.00,443.00,329.00,443.00,,,443.00,499.00,549.00,,443.00,399.00,399.00,399.00,332.00,,,
2026-08-26 20:58:57,329.00,443.00,329.00,443.00,398.00,328.00,443.00,499.00,549.00,398.00,443.00,399.00,399.00,399.00,332.00,398.00,398.00,398.00
2026-08-26 21:08:53,329.00,443.00,329.00,443.00,398.00,328.00,443.00,499.00,549.00,398.00,443.00,399.00,399.00,399.00,332.00,398.00,398.00,398.00
