checked_at,AA1009,AA1598,AA1979,AA2012,AA2891,AA2998,AA3075,AA383,AA607,DL1556,DL2368,DL967,UA1049,UA1941,UA1946,UA2113,UA2114,UA2361,UA2814,UA580,UA729
2026-08-18 16:01:30,129.00,129.00,129.00,129.00,129.00,129.00,129.00,129.00,129.00,119.00,249.00,189.00,119.00,119.00,119.00,119.00,119.00,119.00,119.00,119.00,119.00
2026-08-18 16:11:16,129.00,129.00,129.00,129.00,129.00,129.00,129.00,129.00,129.00,119.00,249.00,189.00,119.00,119.00,119.00,119.00,119.00,119.00,119.00,119.00,119.00
2026-08-18 16:21:20,129.00,129.00,129.00,129.00,129.00,129.00,129.00,129.00,129.00,119.00,249.00,189.00,119.00,119.00,119.00,119.00,119.00,119.00,119.00,119.00,119.00
2026-08-18 16:29:30,129.00,129.00,129.00,129.00,129.00,129.00,129.00,129.00,129.00,119.00,249.00,189.00,119.00,119.00,119.00,119.00,119.00,119.00,119.00,119.00,119.00
2026-08-18 16:35:35,129.00,129.00,129.00,129.00,129.00,129.00,129.00,129.00,129.00,119.00,249.00,189.00,119.00,119.00,119.00,119.00,119.00,119.00,119.00,119.00,119.00
2026-08-18 16:41:58,129.00,129.00,129.00,129.00,129.00,129.00,129.00,129.00,129.00,119.00,249.00,189.00,119.00,119.00,119.00,119.00,119.00,119.00,119.00,119.00,119.00
2026-08-18 16:51:17,129.00,129.00,129.00,129.00,129.00,129.00,129.00,129.00,129.00,119.00,249.00,189.00,119.00,119.00,119.00,119.00,119.00,119.00,119.00,119.00,119.00
2026-08-18 16:59:46,129.00,129.00,129.00,129.00,129.00,129.00,129.00,129.00,129.00,119.00,249.00,189.00,119.00,119.00,119.00,119.00,119.00,119.00,119.00,119.00,119.00
2026-08-18 17:05:39,129.00,129.00,129.00,129.00,129.00,129.00,129.00,129.00,129.00,119.00,249.00,189.00,119.00,119.00,119.00,119.00,119.00,119.00,119.00,119.00,119.00
2026-08-18 17:11:44,129.00,129.00,129.00,129.00,129.00,129.00,129.00,129.00,129.00,119.00,249.00,189.00,119.00,119.00,119.00,119.00,119.00,119.00,119.00,119.00,119.00
2026-08-18 17:21:18,129.00,129.00,129.00,129.00,129.00,129.00,129.00,129.00,129.00,119.00,249.00,189.00,119.00,119.00,119.00,119.00,119.00,119.00,119.00,119.00,119.00
2026-08-18 17:31:18,129.00,129.00,129.00,129.00,129.00,129.00,129.00,129.00,129.00,119.00,249.00,189.00,119.00,119.00,119.00,119.00,119.00,119.00,119.00,119.00,119.00
2026-08-18 17:41:21,129.00,129.00,129.00,129.00,129.00,129.00,129.00,129.00,129.00,119.00,249.00,189.00,119.00,119.00,119.00,119.00,119.00,119.00,119.00,119.00,119.00
2026-08-18 17:51:14,129.00,129.00,129.00,129.00,129.00,129.00,129.00,129.00,129.00,119.00,259.00,199.00,119.00,119.00,119.00,119.00,119.00,119.00,119.00,119.00,119.00
2026-08-18 18:01:25,129.00,129.00,129.00,129.00,129.00,129.00,129.00,129.00,129.00,129.00,259.00,199.00,119.00,119.00,119.00,119.00,119.00,119.00,119.00,119.00,119.00
2026-08-18 18:11:20,129.00,129.00,129.00,129.00,129.00,129.00,129.00,129.00,129.00,129.00,259.00,199.00,119.00,119.00,119.00,119.00,119.00,119.00,119.00,119.00,119.00
2026-08-18 18:21:19,129.00,129.00,129.00,129.00,129.00,129.00,129.00,129.00,129.00,129.00,259.00,199.00,119.00,119.00,119.00,119.00,119.00,119.00,119.00,119.00,119.00
2026-08-18 18:31:25,129.00,129.00,129.00,129.00,129.00,129.00,129.00,129.00,129.00,129.00,259.00,199.00,119.00,119.00,119.00,119.00,119.00,119.00,119.00,119.00,119.00
2026-08-18 18:41:23,129.00,129.00,129.00,129.00,129.00,129.00,129.00,129.00,129.00,129.00,259.00,199.00,119.00,119.00,119.00,119.00,119.00,119.00,119.00,119.00,119.00
2026-08-18 18:51:25,129.00,129.00,129.00,129.00,129.00,129.00,129.00,129.00,129.00,129.00,259.00,199.00,119.00,119.00,119.00,119.00,119.00,119.00,119.00,119.00,119.00
2026-08-18 19:01:22,129.00,129.00,129.00,129.00,129.00,129.00,129.00,129.00,129.00,129.00,259.00,199.00,119.00,119.00,119.00,119.00,119.00,119.00,119.00,119.00,119.00
