checked_at,AA3792,AA4081,AA4117,AA4207,AS417,AS449,AS603,AS605,AS606,AS637,AS645,DL1570,DL2374,DL2419
2026-08-18 16:02:55,154.00,154.00,154.00,199.00,154.00,158.00,154.00,154.00,154.00,154.00,154.00,164.00,164.00,164.00
2026-08-18 16:12:35,154.00,154.00,154.00,199.00,154.00,158.00,154.00,154.00,154.00,154.00,154.00,164.00,164.00,164.00
2026-08-18 16:22:41,154.00,154.00,154.00,199.00,154.00,158.00,154.00,154.00,154.00,154.00,154.00,164.00,164.00,164.00
2026-08-18 16:30:52,154.00,154.00,154.00,199.00,154.00,158.00,154.00,154.00,154.00,154.00,154.00,164.00,164.00,164.00
2026-08-18 16:36:59,154.00,154.00,154.00,199.00,154.00,158.00,154.00,154.00,154.00,154.00,154.00,164.00,164.00,164.00
2026-08-18 16:43:22,154.00,154.00,154.00,199.00,154.00,158.00,154.00,154.00,154.00,154.00,154.00,164.00,164.00,164.00
2026-08-18 16:52:52,154.00,154.00,154.00,199.00,154.00,158.00,154.00,154.00,154.00,154.00,154.00,164.00,164.00,164.00
2026-08-18 17:01:10,154.00,154.00,154.00,199.00,154.00,158.00,154.00,154.00,154.00,154.00,154.00,164.00,164.00,164.00
2026-08-18 17:07:03,154.00,154.00,154.00,199.00,154.00,158.00,154.00,154.00,154.00,154.00,154.00,164.00,164.00,164.00
2026-08-18 17:13:05,154.00,154.00,154.00,199.00,154.00,158.00,154.00,154.00,154.00,154.00,154.00,164.00,164.00,164.00
2026-08-18 17:22:39,154.00,154.00,154.00,199.00,154.00,158.00,154.00,154.00,154.00,154.00,154.00,164.00,164.00,164.00
2026-08-18 17:32:40,154.00,154.00,154.00,199.00,154.00,158.00,154.00,154.00,154.00,154.00,154.00,164.00,164.00,164.00
2026-08-18 17:42:43,154.00,154.00,154.00,199.00,154.00,158.00,154.00,154.00,154.00,154.00,154.00,164.00,164.00,164.00
2026-08-18 17:52:33,154.00,154.00,154.00,199.00,154.00,158.00,154.00,154.00,154.00,154.00,154.00,164.00,164.00,164.00
2026-08-18 18:02:48,154.00,154.00,154.00,199.00,154.00,158.00,154.00,154.00,154.00,154.00,154.00,164.00,164.00,164.00
2026-08-18 18:12:43,154.00,154.00,154.00,199.00,154.00,158.00,154.00,154.00,154.00,154.00,154.00,164.00,164.00,164.00
2026-08-18 18:22:37,154.00,154.00,154.00,199.00,154.00,158.00,154.00,154.00,154.00,154.00,154.00,164.00,164.00,164.00
2026-08-18 18:32:45,154.00,154.00,154.00,199.00,154.00,158.00,154.00,154.00,154.00,154.00,154.00,164.00,164.00,164.00
2026-08-18 18:42:47,154.00,154.00,154.00,199.00,154.00,158.00,154.00,154.00,154.00,154.00,154.00,164.00,164.00,164.00
2026-08-18 18:52:46,154.00,154.00,154.00,199.00,154.00,158.00,154.00,154.00,154.00,154.00,154.00,164.00,164.00,164.00
2026-08-18 19:02:47,154.00,154.00,154.00,199.00,154.00,158.00,154.00,154.00,154.00,154.00,154.00,164.00,164.00,164.00
2026-08-18 19:12:41,154.00,154.00,154.00,199.00,154.00,158.00,154.00,154.00,154.00,154.00,154.00,164.00,164.00,164.00
2026-08-18 19:22:51,154.00,154.00,154.00,199.00,154.00,158.00,154.00,154.00,154.00,154.00,154.00,164.00,164.00,164.00
