checked_at,route_name,watch_id,origin,destination,departure_date,flight_number,price,ok,error
2026-08-04T16:20:20.471080+00:00,A,ua781-aug11,LAX,SFO,2026-08-11,UA781,148.00,1,
2026-08-04T16:20:28.724755+00:00,A,dl1421-aug11,LAX,SFO,2026-08-11,DL1421,148.00,1,
2026-08-04T16:20:36.968868+00:00,A,as1603-aug11,LAX,SFO,2026-08-11,AS1603,148.00,1,
2026-08-04T16:20:45.226573+00:00,A,aa6274-aug11,LAX,SFO,2026-08-11,AA6274,218.00,1,
2026-08-04T16:20:54.901273+00:00,B,dl2980-aug27,LAX,SEA,2026-08-27,DL2980,134.00,1,
2026-08-04T16:21:03.263976+00:00,B,as482-aug27,LAX,SEA,2026-08-27,AS482,134.00,1,
2026-08-04T16:21:11.771057+00:00,B,aa6476-aug27,LAX,SEA,2026-08-27,AA6476,134.00,1,
2026-08-04T16:21:20.264965+00:00,B,ua2170-aug27,LAX,SEA,2026-08-27,UA2170,134.00,1,
2026-08-04T16:21:30.578951+00:00,C,aa3053-aug24,LAX,PHX,2026-08-24,AA3053,183.00,1,
2026-08-04T16:21:38.837567+00:00,C,ua5589-aug24,LAX,PHX,2026-08-24,UA5589,183.00,1,
2026-08-04T16:21:47.162523+00:00,C,dl4119-aug24,LAX,PHX,2026-08-24,DL4119,183.00,1,
2026-08-04T16:21:56.230966+00:00,D,dl2253-aug20,LAX,LAS,2026-08-20,DL2253,165.00,1,
2026-08-04T16:22:04.582444+00:00,D,ua1006-aug20,LAX,LAS,2026-08-20,UA1006,165.00,1,
2026-08-04T16:22:12.830837+00:00,D,aa6425-aug20,LAX,LAS,2026-08-20,AA6425,165.00,1,
2026-08-04T16:25:21.090442+00:00,A,ua781-aug11,LAX,SFO,2026-08-11,UA781,148.00,1,
2026-08-04T16:25:29.381361+00:00,A,dl1421-aug11,LAX,SFO,2026-08-11,DL1421,148.00,1,
2026-08-04T16:25:37.983643+00:00,A,as1603-aug11,LAX,SFO,2026-08-11,AS1603,148.00,1,
2026-08-04T16:25:46.224975+00:00,A,aa6274-aug11,LAX,SFO,2026-08-11,AA6274,218.00,1,
2026-08-04T16:25:54.541313+00:00,B,dl2980-aug27,LAX,SEA,2026-08-27,DL2980,134.00,1,
2026-08-04T16:26:02.769010+00:00,B,as482-aug27,LAX,SEA,2026-08-27,AS482,134.00,1,
2026-08-04T16:26:11.265811+00:00,B,aa6476-aug27,LAX,SEA,2026-08-27,AA6476,134.00,1,
2026-08-04T16:26:19.577508+00:00,B,ua2170-aug27,LAX,SEA,2026-08-27,UA2170,134.00,1,
2026-08-04T16:26:27.869566+00:00,C,aa3053-aug24,LAX,PHX,2026-08-24,AA3053,183.00,1,
2026-08-04T16:26:36.043301+00:00,C,ua5589-aug24,LAX,PHX,2026-08-24,UA5589,183.00,1,
2026-08-04T16:26:44.227433+00:00,C,dl4119-aug24,LAX,PHX,2026-08-24,DL4119,183.00,1,
2026-08-04T16:26:52.648373+00:00,D,dl2253-aug20,LAX,LAS,2026-08-20,DL2253,165.00,1,
2026-08-04T16:27:00.868770+00:00,D,ua1006-aug20,LAX,LAS,2026-08-20,UA1006,165.00,1,
2026-08-04T16:27:09.088376+00:00,D,aa6425-aug20,LAX,LAS,2026-08-20,AA6425,165.00,1,
